ra,dec,hr,multiple,vmag,sptype
14h47m22.5s,-25d37m28s,HR5514,G,5.63,A0IIIp
14h55m44.7s,-33d51m21s,HR5558,W,5.32,A0V
14h56m35.8s,-39d24m58s,HR5561,G,6.36,A0-1V
14h56m13.2s,+14d26m47s,HR5567,G,5.77,A0V
15h06m33.3s,-30d55m08s,HR5619,G,5.96,A0pSi
15h09m25.5s,-63d38m34s,HR5623,G,6.28,A0pSrCrEu
15h12m13.3s,-19d47m30s,HR5652,G,4.54,A0pSi
15h21m30.1s,-38d13m09s,HR5697,W,6.48,A0pSi
15h22m23.2s,+12d34m03s,HR5717,G,6.28,A0V
15h24m44.9s,-39d42m37s,HR5719,W,5.37,A0pSi
15h25m20.2s,-38d44m01s,HR5724,W,4.60,A0IV
15h22m37.3s,+62d02m50s,HR5731,G,5.98,A0pSi
15h34m41.3s,+26d42m53s,HR5793,G,2.23,A0V+G5V
15h38m49.5s,-52d22m22s,HR5798,W,5.44,A0V
15h39m21.3s,-23d09m01s,HR5819,G,6.34,A0V
15h41m47.4s,+12d50m51s,HR5843,G,5.33,A0pSr
15h44m22.6s,-41d49m10s,HR5846,W,5.94,A0V+B
15h44m42.1s,+17d15m51s,HR5858,S,6.14,A0V
15h45m23.5s,+05d26m49s,HR5859,G,5.58,A0V
15h49m37.2s,-03d25m49s,HR5881,G,3.53,A0V
15h55m49.7s,+58d54m42s,HR5949,G,6.31,A0V
16h00m53.7s,-40d26m07s,HR5952,W,6.21,A0V
16h00m47.6s,-08d24m41s,HR5959,G,5.55,A0V
16h01m26.6s,+29d51m04s,HR5971,G,4.99,A0p:Hg:
16h08m34.4s,-39d05m35s,HR6000,W,6.65,A0-3III
16h08m46.6s,+17d12m21s,HR6013,G,6.14,A0Vnn
16h06m19.7s,+67d48m37s,HR6025,G,5.44,A0Vn
16h11m28.7s,+16d39m56s,HR6035,G,6.08,A0V
16h14m28.8s,-21d06m27s,HR6051,G,6.41,A0V
16h15m51.5s,-14d50m57s,HR6061,G,6.09,A0V
16h18m17.9s,-28d36m50s,HR6070,G,4.78,A0V
16h23m56.7s,-33d11m58s,HR6097,W,6.47,A0V+A0V
16h30m54.8s,+01d59m02s,HR6149,G,3.82,A0V+A4V
16h27m59.0s,+68d46m05s,HR6161,G,5.00,A0III
16h39m05.2s,-37d13m03s,HR6178,W,5.91,B9-A0V+B
16h38m01.6s,-06d32m17s,HR6179,G,6.09,A0pCrEu
16h43m22.1s,-67d25m57s,HR6182,G,6.03,A0Vn
16h48m27.0s,-14d54m34s,HR6235,G,6.03,A0Vn
16h55m24.7s,-63d16m11s,HR6253,W,6.02,A0III
16h56m48.0s,-23d09m00s,HR6291,G,5.58,A0V
17h00m17.4s,+30d55m35s,HR6324,G,3.92,A0V
17h06m53.2s,-26d30m47s,HR6354,G,6.29,A0III
17h16m35.6s,-74d31m59s,HR6373,G,6.25,A0V
17h12m13.6s,-25d15m17s,HR6386,G,6.54,A0pHg
17h25m02.7s,-34d41m47s,HR6470,G,6.16,A0VSiCr
17h23m40.7s,+37d08m48s,HR6484,G,5.47,A0Vn
17h26m55.2s,-25d56m36s,HR6490,G,6.44,A0V
